
DESKTOP24

"Nazwa komputera:","DESKTOP24"
"Numer seryjny:","N/A"
"Obs³ugiwana wersja USB:","3.00"
"USB Speed Capable:","USB 3.0 Gen1 (SuperSpeed)"
"USB Speed Connected:","USB 3.0 Gen1 (SuperSpeed)"
"Maximum Current:","8 mA"
"Opis sterownika:","Rodzajowy koncentrator USB SuperSpeed"
"Identyfikator sprzêtu:","USB\VID_174C&PID_3074"
"Producent sterownika:","Microsoft"
"Opis sterownika:","Generic SuperSpeed USB Hub"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","24-Nov-2025"
"DeviceInstanceId","USB\VID_174C&PID_3074\5&260B46E3&0&24"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(24)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port25] : ASMedia ASM3074 Super-Speed 4-Port USB 3.0 Hub

"Producent urz¹dzenia:","Asmedia"
"Nazwa produktu:","ASM107x"
"Numer seryjny:","N/A"
"Obs³ugiwana wersja USB:","3.00"
"USB Speed Capable:","USB 3.0 Gen1 (SuperSpeed)"
"USB Speed Connected:","USB 3.0 Gen1 (SuperSpeed)"
"Maximum Current:","8 mA"
"Opis sterownika:","Rodzajowy koncentrator USB SuperSpeed"
"Identyfikator sprzêtu:","USB\VID_174C&PID_3074"
"Producent sterownika:","Microsoft"
"Opis sterownika:","Generic SuperSpeed USB Hub"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","24-Nov-2025"
"DeviceInstanceId","USB\VID_174C&PID_3074\5&260B46E3&0&25"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(25)"

[Port1] : Realtek Semiconductor Realtek USB 2.5GbE Family Controller

"Producent urz¹dzenia:","Realtek"
"Nazwa produktu:","USB 10/100/1G/2.5G LAN"
"Numer seryjny:","0013000001"
"Obs³ugiwana wersja USB:","3.20"
"USB Speed Capable:","USB 3.2 Gen1 (SuperSpeed)"
"USB Speed Connected:","USB 3.2 Gen1 (SuperSpeed)"
"Maximum Current:","256 mA"
"Opis sterownika:","Realtek USB 2.5GbE Family Controller"
"Identyfikator sprzêtu:","USB\VID_0BDA&PID_8156"
"Producent sterownika:","Realtek"
"Opis sterownika:","Realtek USB 2.5GbE Family Controller"
"Dostawca sterowników:","Realtek"
"Wersja sterownika:","1156.19.20.603"
"Data sterownika:","02-Jun-2025"
"DeviceInstanceId","USB\VID_0BDA&PID_8156\0013000001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(25)#USB(1)"

[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


Intel Raptor Lake-S PCH - Shared SRAM

"Nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - Shared SRAM"
"Oryginalna nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - Shared SRAM"
"Klasa urz¹dzenia:","RAM/Memory Controller"
"Identyfikator rewizja:","11"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","0:20:2"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_7A27&SUBSYS_00000000&REV_11"
"Linia przerwañ:","N/A"
"Pin przerwania:","N/A"
"Adres bazy pamiêci 0","4402114000"
"Adres bazy pamiêci 2","440211B000"
"Bus Mastering:","Wy³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","INTEL"
"Opis sterownika:","Intel(R) Shared SRAM - 7A27"
"Dostawca sterowników:","INTEL"
"Wersja sterownika:","10.1.46.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_7A27&SUBSYS_00000000&REV_11\3&11583659&0&A2"
"Location Paths","PCIROOT(0)#PCI(1402)"

Intel Raptor Lake-S PCH - I2C Controller #0

"Nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - I2C Controller #0"
"Oryginalna nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - I2C Controller #0"
"Klasa urz¹dzenia:","Other Serial Bus Controller"
"Identyfikator rewizja:","11"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","0:21:0"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_7A4C&SUBSYS_7A4C1849&REV_11"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTA#"
"Adres bazy pamiêci 0","0"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","INTEL"
"Opis sterownika:","Intel(R) LPSS: I2C Controller #0 - 7A4C"
"Dostawca sterowników:","INTEL"
"Wersja sterownika:","10.1.46.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_7A4C&SUBSYS_7A4C1849&REV_11\3&11583659&0&A8"
"Location Paths","PCIROOT(0)#PCI(1500)"

Intel Raptor Lake-S PCH - Intel CSME: HECI #1

"Nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - Intel CSME: HECI #1"
"Oryginalna nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - Intel CSME: HECI #1"
"Klasa urz¹dzenia:","Other Communication Device"
"Identyfikator rewizja:","11"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","0:22:0"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_7A68&SUBSYS_7A681849&REV_11"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTA#"
"Adres bazy pamiêci 0","7FFFEFB000"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","Intel"
"Opis sterownika:","Intel(R) Management Engine Interface #1"
"Dostawca sterowników:","Intel"
"Wersja sterownika:","2406.5.5.0"
"Data sterownika:","08-Feb-2024"
"DeviceInstanceId","PCI\VEN_8086&DEV_7A68&SUBSYS_7A681849&REV_11\3&11583659&0&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel Raptor Lake-S PCH - SATA Controller (AHCI)

"Nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - SATA Controller (AHCI)"
"Oryginalna nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - SATA Controller (AHCI)"
"Klasa urz¹dzenia:","SATA AHCI Controller"
"Identyfikator rewizja:","11"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","0:23:0"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_7A62&SUBSYS_7A621849&REV_11"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTA#"
"Adres bazy pamiêci 0","71600000"
"Adres bazy pamiêci 1","71603000"
"Adres bazowy We/Wy 2","5050"
"Adres bazowy We/Wy 3","5040"
"Adres bazowy We/Wy 4","5020"
"Adres bazy pamiêci 5","71602000"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Zdolny"
"Fast Back-to-Back Transactions:","Zdolny"
"Obs³ugiwana prêdkoœæ interfejsu:","Gen3 6.0 Gbps"
"Liczba portów:","8"
"Obs³uga zewnêtrznego SATA:","Niezdolny"
"Aggressive Link Power Management:","Niezdolny"
"Staggered Spin-up:","Niezdolny"
"Mechanical Presence Switch:","Niezdolny"
"Command Queue Acceleration:","Zdolny"
"64-bit Addressing:","Zdolny"
"Status AHCI:","W³¹czony"
"Wersja AHCI:","1.31"
"Wdro¿one porty:","0, 1, 2, 3, 4, 5, 6, 7"
"Stan portu:","Phy w trybie offline"
"Zewnêtrzny port SATA:","Niezdolny"
"Hot Plug:","Niezdolny"
"Stan portu:","Phy w trybie offline"
"Zewnêtrzny port SATA:","Niezdolny"
"Hot Plug:","Niezdolny"
"Stan portu:","Phy w trybie offline"
"Zewnêtrzny port SATA:","Niezdolny"
"Hot Plug:","Niezdolny"
"Stan portu:","Phy w trybie offline"
"Zewnêtrzny port SATA:","Niezdolny"
"Hot Plug:","Niezdolny"
"Stan portu:","Phy w trybie offline"
"Zewnêtrzny port SATA:","Niezdolny"
"Hot Plug:","Niezdolny"
"Stan portu:","Phy w trybie offline"
"Zewnêtrzny port SATA:","Niezdolny"
"Hot Plug:","Niezdolny"
"Stan portu:","Phy w trybie offline"
"Zewnêtrzny port SATA:","Niezdolny"
"Hot Plug:","Niezdolny"
"Stan portu:","Phy w trybie offline"
"Zewnêtrzny port SATA:","Niezdolny"
"Hot Plug:","Niezdolny"
"Producent sterownika:","Microsoft"
"Opis sterownika:","Standard SATA AHCI Controller"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_7A62&SUBSYS_7A621849&REV_11\3&11583659&0&B8"
"Location Paths","PCIROOT(0)#PCI(1700)"

Intel Raptor Lake-S PCH - PCI Express Root Port #25

"Nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - PCI Express Root Port #25"
"Oryginalna nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - PCI Express Root Port #25"
"Klasa urz¹dzenia:","PCI-to-PCI Bridge"
"Identyfikator rewizja:","11"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","0:26:0"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_7A48&SUBSYS_00000000&REV_11"
"Wersja:","4.0"
"Maksymalna szerokoœæ ³¹cza:","x4"
"Aktualna szerokoœæ ³¹cza:","x4"
"Maksymalna prêdkoœæ ³¹cza:","16.0 GT/s"
"Aktualna prêdkoœæ ³¹cza:","16.0 GT/s"
"Typ urz¹dzenia/portu:","Port g³ówny PCI Express Root Complex"
"Zaimplementowane gniazdo:","Tak"
"Hot-Plug:","Niezdolny"
"Hot-Plug Surprise:","Niezdolny"
"Limit mocy gniazda:","25.000 W"
"Emergency Power Reduction:","Nieobs³ugiwany"
"Active State Power Management (ASPM) Support:","Nic"
"Active State Power Management (ASPM) Status:","Wy³¹czony"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Obs³uga BAR o zmiennej wielkoœci:","Nieobs³ugiwany"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTA#"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","INTEL"
"Opis sterownika:","Intel(R) PCI Express Root Port #25 - 7A48"
"Dostawca sterowników:","INTEL"
"Wersja sterownika:","10.1.46.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_7A48&SUBSYS_7A481849&REV_11\3&11583659&0&D0"
"Location Paths","PCIROOT(0)#PCI(1A00)"

PCI Express x4 Magistrala #3


Samsung Electronics Piccolo S4LY022 PCIe 4.0 x4 NVMe 2.0 DRAM-less SSD Controller

"Nazwa urz¹dzenia:","Samsung Electronics Piccolo S4LY022 PCIe 4.0 x4 NVMe 2.0 DRAM-less SSD Controller"
"Oryginalna nazwa urz¹dzenia:","Samsung Electronics Piccolo S4LY022 PCIe 4.0 x4 NVMe 2.0 DRAM-less SSD Controller"
"Klasa urz¹dzenia:","NVMe Controller"
"Identyfikator rewizja:","0"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","3:0:0"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_144D&DEV_A80D&SUBSYS_A801144D&REV_00"
"Wersja:","4.0"
"Maksymalna szerokoœæ ³¹cza:","x4"
"Aktualna szerokoœæ ³¹cza:","x4"
"Maksymalna prêdkoœæ ³¹cza:","16.0 GT/s"
"Aktualna prêdkoœæ ³¹cza:","16.0 GT/s"
"Typ urz¹dzenia/portu:","Punkt koñcowy PCI Express"
"Zaimplementowane gniazdo:","Nie"
"Emergency Power Reduction:","Nieobs³ugiwany"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","Wy³¹czony"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","512 bytes"
"Maximum Payload Size:","256 bytes"
"Obs³uga BAR o zmiennej wielkoœci:","Nieobs³ugiwany"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTA#"
"Adres bazy pamiêci 0","71400000"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","Microsoft"
"Opis sterownika:","Standard NVM Express Controller"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_144D&DEV_A80D&SUBSYS_A801144D&REV_00\4&22F85E38&0&00D0"
"Location Paths","PCIROOT(0)#PCI(1A00)#PCI(0000)"

Intel Raptor Lake-S PCH - PCI Express Root Port #3

"Nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - PCI Express Root Port #3"
"Oryginalna nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - PCI Express Root Port #3"
"Klasa urz¹dzenia:","PCI-to-PCI Bridge"
"Identyfikator rewizja:","11"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","0:28:0"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_7A3A&SUBSYS_00000000&REV_11"
"Wersja:","3.0"
"Maksymalna szerokoœæ ³¹cza:","x1"
"Aktualna szerokoœæ ³¹cza:","x1"
"Maksymalna prêdkoœæ ³¹cza:","8.0 GT/s"
"Aktualna prêdkoœæ ³¹cza:","5.0 GT/s"
"Typ urz¹dzenia/portu:","Port g³ówny PCI Express Root Complex"
"Zaimplementowane gniazdo:","Tak"
"Hot-Plug:","Niezdolny"
"Hot-Plug Surprise:","Niezdolny"
"Limit mocy gniazda:","10.000 W"
"Emergency Power Reduction:","Nieobs³ugiwany"
"Active State Power Management (ASPM) Support:","Nic"
"Active State Power Management (ASPM) Status:","Wy³¹czony"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Obs³uga BAR o zmiennej wielkoœci:","Nieobs³ugiwany"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTC#"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","INTEL"
"Opis sterownika:","Intel(R) PCI Express Root Port #3 - 7A3A"
"Dostawca sterowników:","INTEL"
"Wersja sterownika:","10.1.46.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_7A3A&SUBSYS_7A3A1849&REV_11\3&11583659&0&E0"
"Location Paths","PCIROOT(0)#PCI(1C00)"

PCI Express x1 Magistrala #4


RealTek Semiconductor RTL8125 Gaming 2.5GbE Family Ethernet Controller

"Nazwa urz¹dzenia:","RealTek Semiconductor RTL8125 Gaming 2.5GbE Family Ethernet Controller"
"Oryginalna nazwa urz¹dzenia:","RealTek Semiconductor RTL8125 Gaming 2.5GbE Family Ethernet Controller"
"Klasa urz¹dzenia:","Ethernet Adapter"
"Identyfikator rewizja:","5"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","4:0:0"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_10EC&DEV_8125&SUBSYS_81251849&REV_05"
"Wersja:","2.0"
"Maksymalna szerokoœæ ³¹cza:","x1"
"Aktualna szerokoœæ ³¹cza:","x1"
"Maksymalna prêdkoœæ ³¹cza:","5.0 GT/s"
"Aktualna prêdkoœæ ³¹cza:","5.0 GT/s"
"Typ urz¹dzenia/portu:","Punkt koñcowy PCI Express"
"Zaimplementowane gniazdo:","Nie"
"Emergency Power Reduction:","Nieobs³ugiwany"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Wy³¹czony"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Obs³uga BAR o zmiennej wielkoœci:","Nieobs³ugiwany"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTA#"
"Adres bazowy We/Wy 0","0"
"Adres bazy pamiêci 2","713F0000"
"Adres bazy pamiêci 4","713EC000"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","Realtek"
"Opis sterownika:","Realtek Gaming 2.5GbE Family Controller"
"Dostawca sterowników:","Realtek"
"Wersja sterownika:","1125.26.20.2025"
"Data sterownika:","10-Jul-2025"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8125&SUBSYS_81251849&REV_05\4&169602DE&0&00E0"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)"

Intel Raptor Lake-S PCH - PCI Express Root Port #4

"Nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - PCI Express Root Port #4"
"Oryginalna nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - PCI Express Root Port #4"
"Klasa urz¹dzenia:","PCI-to-PCI Bridge"
"Identyfikator rewizja:","11"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","0:28:3"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_7A3B&SUBSYS_00000000&REV_11"
"Wersja:","3.0"
"Maksymalna szerokoœæ ³¹cza:","x1"
"Aktualna szerokoœæ ³¹cza:","x1"
"Maksymalna prêdkoœæ ³¹cza:","8.0 GT/s"
"Aktualna prêdkoœæ ³¹cza:","5.0 GT/s"
"Typ urz¹dzenia/portu:","Port g³ówny PCI Express Root Complex"
"Zaimplementowane gniazdo:","Tak"
"Hot-Plug:","Niezdolny"
"Hot-Plug Surprise:","Niezdolny"
"Limit mocy gniazda:","10.000 W"
"Emergency Power Reduction:","Nieobs³ugiwany"
"Active State Power Management (ASPM) Support:","Nic"
"Active State Power Management (ASPM) Status:","Wy³¹czony"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
"Obs³uga BAR o zmiennej wielkoœci:","Nieobs³ugiwany"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTD#"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","INTEL"
"Opis sterownika:","Intel(R) PCI Express Root Port #4 - 7A3B"
"Dostawca sterowników:","INTEL"
"Wersja sterownika:","10.1.46.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_7A3B&SUBSYS_7A3B1849&REV_11\3&11583659&0&E3"
"Location Paths","PCIROOT(0)#PCI(1C03)"

PCI Express x1 Magistrala #5


Killer Wi-Fi 6E AX1675x 160MHz Wireless Network Adapter (210NGW)

"Nazwa urz¹dzenia:","Killer Wi-Fi 6E AX1675x 160MHz Wireless Network Adapter (210NGW)"
"Oryginalna nazwa urz¹dzenia:","Intel Wi-Fi 6E AX210 160MHz (Typhoon Peak)"
"Klasa urz¹dzenia:","Other Network Adapter"
"Identyfikator rewizja:","1A"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","5:0:0"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_2725&SUBSYS_16741A56&REV_1A"
"Wersja:","2.0"
"Maksymalna szerokoœæ ³¹cza:","x1"
"Aktualna szerokoœæ ³¹cza:","x1"
"Maksymalna prêdkoœæ ³¹cza:","5.0 GT/s"
"Aktualna prêdkoœæ ³¹cza:","5.0 GT/s"
"Typ urz¹dzenia/portu:","Punkt koñcowy PCI Express"
"Zaimplementowane gniazdo:","Nie"
"Emergency Power Reduction:","Nieobs³ugiwany"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","Wy³¹czony"
"L0s Exit Latency:","2 - 4 us"
"L1 Exit Latency:","4 - 8 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Obs³uga BAR o zmiennej wielkoœci:","Nieobs³ugiwany"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTA#"
"Adres bazy pamiêci 0","712FC000"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","Intel"
"Opis sterownika:","Killer(R) Wi-Fi 6E AX1675x 160MHz Wireless Network Adapter (210NGW)"
"Dostawca sterowników:","Intel"
"Wersja sterownika:","23.150.0.4"
"Data sterownika:","12-Jun-2025"
"DeviceInstanceId","PCI\VEN_8086&DEV_2725&SUBSYS_16741A56&REV_1A\4&1C55AE03&0&00E3"
"Location Paths","PCIROOT(0)#PCI(1C03)#PCI(0000)"

Intel Raptor Lake-S PCH - PCI Express Root Port #5

"Nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - PCI Express Root Port #5"
"Oryginalna nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - PCI Express Root Port #5"
"Klasa urz¹dzenia:","PCI-to-PCI Bridge"
"Identyfikator rewizja:","11"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","0:28:4"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_7A3C&SUBSYS_00000000&REV_11"
"Wersja:","4.0"
"Maksymalna szerokoœæ ³¹cza:","x4"
"Aktualna szerokoœæ ³¹cza:","x4"
"Maksymalna prêdkoœæ ³¹cza:","16.0 GT/s"
"Aktualna prêdkoœæ ³¹cza:","16.0 GT/s"
"Typ urz¹dzenia/portu:","Port g³ówny PCI Express Root Complex"
"Zaimplementowane gniazdo:","Tak"
"Hot-Plug:","Niezdolny"
"Hot-Plug Surprise:","Niezdolny"
"Limit mocy gniazda:","25.000 W"
"Emergency Power Reduction:","Nieobs³ugiwany"
"Active State Power Management (ASPM) Support:","Nic"
"Active State Power Management (ASPM) Status:","Wy³¹czony"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Obs³uga BAR o zmiennej wielkoœci:","Nieobs³ugiwany"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTA#"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","INTEL"
"Opis sterownika:","Intel(R) PCI Express Root Port #5 - 7A3C"
"Dostawca sterowników:","INTEL"
"Wersja sterownika:","10.1.46.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_7A3C&SUBSYS_7A3C1849&REV_11\3&11583659&0&E4"
"Location Paths","PCIROOT(0)#PCI(1C04)"

PCI Express x4 Magistrala #6


Samsung Electronics Elpis S4LV003 PCIe 4.0 x4 NVMe 1.3 SSD Controller

"Nazwa urz¹dzenia:","Samsung Electronics Elpis S4LV003 PCIe 4.0 x4 NVMe 1.3 SSD Controller"
"Oryginalna nazwa urz¹dzenia:","Samsung Electronics Elpis S4LV003 PCIe 4.0 x4 NVMe 1.3 SSD Controller"
"Klasa urz¹dzenia:","NVMe Controller"
"Identyfikator rewizja:","0"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","6:0:0"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_144D&DEV_A80A&SUBSYS_A801144D&REV_00"
"Wersja:","4.0"
"Maksymalna szerokoœæ ³¹cza:","x4"
"Aktualna szerokoœæ ³¹cza:","x4"
"Maksymalna prêdkoœæ ³¹cza:","16.0 GT/s"
"Aktualna prêdkoœæ ³¹cza:","16.0 GT/s"
"Typ urz¹dzenia/portu:","Punkt koñcowy PCI Express"
"Zaimplementowane gniazdo:","Nie"
"Emergency Power Reduction:","Nieobs³ugiwany"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","Wy³¹czony"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Obs³uga BAR o zmiennej wielkoœci:","Nieobs³ugiwany"
"Linia przerwañ:","N/A"
"Pin przerwania:","INTA#"
"Adres bazy pamiêci 0","71100000"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","Microsoft"
"Opis sterownika:","Standard NVM Express Controller"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_144D&DEV_A80A&SUBSYS_A801144D&REV_00\4&29CDFD9A&0&00E4"
"Location Paths","PCIROOT(0)#PCI(1C04)#PCI(0000)"

Intel Z790 (Raptor Lake-S) PCH - eSPI Controller

"Nazwa urz¹dzenia:","Intel Z790 (Raptor Lake-S) PCH - eSPI Controller"
"Oryginalna nazwa urz¹dzenia:","Intel Z790 (Raptor Lake-S) PCH - eSPI Controller"
"Klasa urz¹dzenia:","PCI-to-ISA Bridge"
"Identyfikator rewizja:","11"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","0:31:0"
"PCI Latency Timer:","0"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_7A04&SUBSYS_7A041849&REV_11"
"Linia przerwañ:","N/A"
"Pin przerwania:","N/A"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","INTEL"
"Opis sterownika:","Intel(R) LPC Controller/eSPI Controller - 7A04"
"Dostawca sterowników:","INTEL"
"Wersja sterownika:","10.1.46.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_7A04&SUBSYS_7A041849&REV_11\3&11583659&0&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Raptor Lake-S PCH - cAVS (Audio, Voice, Speech)

"Nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - cAVS (Audio, Voice, Speech)"
"Oryginalna nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - cAVS (Audio, Voice, Speech)"
"Klasa urz¹dzenia:","High Definition Audio"
"Identyfikator rewizja:","11"
"Numer adresu PCI (magistrala:urz¹dzenie:funkcja):","0:31:3"
"PCI Latency Timer:","32"
"Identyfikator sprzêtu:","PCI\VEN_8086&DEV_7A50&SUBSYS_28971849&REV_11"
"Linia przerwañ:","IRQ17"
"Pin przerwania:","INTB#"
"Adres bazy pamiêci 0","7FFFEFC000"
"Adres bazy pamiêci 4","7FFFF00000"
"Bus Mastering:","W³¹czony"
"Running At 66 MHz:","Niezdolny"
"Fast Back-to-Back Transactions:","Niezdolny"
"Producent sterownika:","Microsoft"
"Opis sterownika:","High Definition Audio Controller"
"Dostawca sterowników:","Microsoft"
"Wersja sterownika:","10.0.26100.7309"
"Data sterownika:","25-Nov-2025"
"DeviceInstanceId","PCI\VEN_8086&DEV_7A50&SUBSYS_28971849&REV_11\3&11583659&0&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Intel Raptor Lake-S PCH - SMBus Host Controller

"Nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - SMBus Host Controller"
"Oryginalna nazwa urz¹dzenia:","Intel Raptor Lake-S PCH - SMBus Host Controller"
"Klasa urz¹dzenia:","SMBus (System Management Bus)"
"Identyfikator rewizja:","11"
